plant_name,source_file,intake_pump_power_kw,intake_pump_count,blower_power_kw,blower_count,total_blower_power_kw,dewater_type,dewater_power_kw,dewater_count,do_aerobic_min,do_aerobic_max,sludge_moisture_out,has_drying,has_mbr,notes,match_status
光明水质净化厂,data/raw/41座设施各厂资料/光明水质净化厂-排水处咨询工作所需资料.docx,,,55.0,1,55.0,离心式脱水机,55.0,4,,,98.0,True,False,,equipment_only
坂雪岗水质净化厂一期,data/raw/41座设施各厂资料/坂雪岗水质净化厂一期.docx,45.0,,160.0,2,320.0,板框压滤机,55.0,2,,,80.0,True,False,,matched
埔地吓二期,data/raw/41座设施各厂资料/埔地吓二期-排水处咨询工作所需资料.docx,,,134.0,,134.0,,37.0,3,,,80.0,False,True,,matched
埔地吓水质净化厂一期,data/raw/41座设施各厂资料/埔地吓水质净化厂一期排水处咨询工作所需资料.docx,,,190.0,,190.0,板框压滤机,,,,,,True,False,,matched
排水处咨询工作所需资料(上洋厂,data/raw/41座设施各厂资料/排水处咨询工作所需资料(上洋厂).docx,185.0,5,450.0,3,1350.0,离心式脱水机,22.0,,,,78.0,False,False,,equipment_only
排水处咨询工作所需资料(公明水质净化厂二期,data/raw/41座设施各厂资料/排水处咨询工作所需资料(公明水质净化厂二期).docx,160.0,,18.5,,18.5,离心式脱水机,22.0,2,,,96.0,True,False,,matched
排水处咨询工作所需资料(固戍水质净化厂二期,data/raw/41座设施各厂资料/排水处咨询工作所需资料(固戍水质净化厂二期).docx,,,75.0,,75.0,板框压滤机,,,,,97.5,True,False,,equipment_only
排水处咨询工作所需资料(布吉三期,data/raw/41座设施各厂资料/排水处咨询工作所需资料(布吉三期).docx,,,,9846,,离心式脱水机,75.0,,,,99.0,True,False,,equipment_only
排水处咨询工作所需资料(平湖厂,data/raw/41座设施各厂资料/排水处咨询工作所需资料(平湖厂).docx,,,200.0,4,800.0,离心式脱水机,66.0,,,,80.0,True,False,,matched
排水处咨询工作所需资料(横岗二期,data/raw/41座设施各厂资料/排水处咨询工作所需资料(横岗二期).docx,55.0,4,190.0,,190.0,板框压滤机,,,,,,True,False,,equipment_only
排水处咨询工作所需资料(沙田厂,data/raw/41座设施各厂资料/排水处咨询工作所需资料(沙田厂).docx,90.0,,15.0,,15.0,板框压滤机,,,,,80.0,True,False,,equipment_only
排水处咨询工作所需资料(滨河水质净化厂,data/raw/41座设施各厂资料/排水处咨询工作所需资料(滨河水质净化厂).docx,110.0,,15.0,2,30.0,板框压滤机,,,,,,True,False,,matched
排水处咨询工作所需资料(牛湖水水质净化厂,data/raw/41座设施各厂资料/排水处咨询工作所需资料(牛湖水水质净化厂).docx,,,100.0,2,200.0,板框压滤机,,,,,90.0,True,False,,equipment_only
排水处咨询工作所需资料(福永一期,data/raw/41座设施各厂资料/排水处咨询工作所需资料(福永一期).docx,132.0,,315.0,,315.0,离心式脱水机,55.0,,,,80.0,True,False,,equipment_only
排水处咨询工作所需资料(福永二期,data/raw/41座设施各厂资料/排水处咨询工作所需资料(福永二期).docx,,,680.0,,680.0,,,,,,96.0,True,False,,equipment_only
排水处咨询工作所需资料(观澜一期,data/raw/41座设施各厂资料/排水处咨询工作所需资料(观澜一期).docx,180.0,,18.5,6,111.0,板框压滤机,,,,,,True,False,,equipment_only
排水处咨询工作所需资料(观澜二期,data/raw/41座设施各厂资料/排水处咨询工作所需资料(观澜二期).docx,225.0,,18.5,4,74.0,板框压滤机,200.0,,,,99.0,True,False,,equipment_only
排水处咨询工作所需资料(龙华一期,data/raw/41座设施各厂资料/排水处咨询工作所需资料(龙华一期).docx,250.0,,330.0,,330.0,板框压滤机,,,,,99.0,True,False,,equipment_only
排水处咨询工作所需资料-布吉二期,data/raw/41座设施各厂资料/排水处咨询工作所需资料-布吉二期.docx,,,400.0,,400.0,板框压滤机,,,,,97.0,True,False,,equipment_only
排水处咨询工作所需资料-民治水质净化厂,data/raw/41座设施各厂资料/排水处咨询工作所需资料-民治水质净化厂.docx,,,340.0,,340.0,离心式脱水机,,,,,,True,False,,equipment_only
排水处咨询工作所需资料-水头水质净化厂,data/raw/41座设施各厂资料/排水处咨询工作所需资料-水头水质净化厂.docx,,,190.0,,190.0,离心式脱水机,,,,,,False,False,,equipment_only
排水处咨询工作所需资料-洪湖水质净化厂,data/raw/41座设施各厂资料/排水处咨询工作所需资料-洪湖水质净化厂.docx,,,100.0,,100.0,板框压滤机,,,,,,True,False,,matched
排水处咨询工作所需资料-福田水质净化厂,data/raw/41座设施各厂资料/排水处咨询工作所需资料-福田水质净化厂.docx,,,960.0,1,960.0,板框压滤机,,,,,,True,False,,equipment_only
排水处咨询工作所需资料松岗二期,data/raw/41座设施各厂资料/排水处咨询工作所需资料松岗二期.docx,,,55.0,2,110.0,板框压滤机,,,,,98.0,True,False,,equipment_only
排水处咨询工作所需资料（东涌水质净化厂,data/raw/41座设施各厂资料/排水处咨询工作所需资料（东涌水质净化厂）.docx,,,18.5,,18.5,板框压滤机,,,,,95.0,True,False,,matched
排水处咨询工作所需资料（公明一期,data/raw/41座设施各厂资料/排水处咨询工作所需资料（公明一期）.docx,110.0,,250.0,,250.0,板框压滤机,66.0,,,,98.5,False,False,,equipment_only
排水处咨询工作所需资料（坂雪岗二期,data/raw/41座设施各厂资料/排水处咨询工作所需资料（坂雪岗二期）.docx,,,45.0,4,180.0,板框压滤机,,,,,98.0,True,False,,equipment_only
排水处咨询工作所需资料（布吉一期,data/raw/41座设施各厂资料/排水处咨询工作所需资料（布吉一期）.docx,,,18.5,1,18.5,板框压滤机,160.0,,,,80.0,False,False,,equipment_only
排水处咨询工作所需资料（松岗水质净化厂一期,data/raw/41座设施各厂资料/排水处咨询工作所需资料（松岗水质净化厂一期）.docx,,,11.0,1,11.0,板框压滤机,,,,,98.0,True,False,,equipment_only
排水处咨询工作所需资料（横岭一期）(1,data/raw/41座设施各厂资料/排水处咨询工作所需资料（横岭一期）(1).docx,,,15.0,1,15.0,板框压滤机,,,,,,True,False,,equipment_only
排水处咨询工作所需资料（横岭二期）(1,data/raw/41座设施各厂资料/排水处咨询工作所需资料（横岭二期）(1).docx,,,42.0,6,252.0,板框压滤机,,,,,,True,False,,equipment_only
排水处咨询工作所需资料（沙井三期,data/raw/41座设施各厂资料/排水处咨询工作所需资料（沙井三期）.docx,,,45.0,4,180.0,板框压滤机,,,,,93.0,True,False,,equipment_only
排水处咨询工作所需资料（葵涌厂,data/raw/41座设施各厂资料/排水处咨询工作所需资料（葵涌厂）.docx,,,175.0,1,175.0,板框压滤机,55.0,,,,80.0,True,False,,equipment_only
横岗一期 排水处咨询工作所需资料(2,data/raw/41座设施各厂资料/横岗一期 排水处咨询工作所需资料(2).docx,90.0,,243.3,8448,2055398.4000000001,板框压滤机,55.0,,,,,True,False,,equipment_only
盐田水质净化厂,data/raw/41座设施各厂资料/盐田水质净化厂.docx,,,250.0,,250.0,板框压滤机,,,,,,True,False,,equipment_only
罗芳厂,data/raw/41座设施各厂资料/罗芳厂-排水处咨询工作所需资料.docx,,,1140.0,1,1140.0,板框压滤机,45.0,1,,,,True,False,,matched
罗芳,data/raw/41座设施各厂资料/附件：1.排水处咨询工作所需资料（罗芳）.docx,,,37.0,,37.0,,,,,,,True,False,,matched
鹅公岭水质净化厂-,data/raw/41座设施各厂资料/鹅公岭水质净化厂--排水处咨询工作所需资料.docx,75.0,,200.0,,200.0,板框压滤机,,,,,,True,False,,equipment_only
龙华二期,data/raw/41座设施各厂资料/龙华二期-排水处咨询工作所需资料.docx,,,450.0,,450.0,离心式脱水机,22.0,,,,98.5,False,False,,equipment_only
龙田厂,data/raw/41座设施各厂资料/龙田厂排水处咨询工作所需资料.docx,,,22.0,1,22.0,离心式脱水机,,,,,78.0,False,False,,equipment_only
布吉水质净化厂（三期）,,,,,,,,,,,,,,,,energy_only
沙井水质净化厂（三期）,,,,,,,,,,,,,,,,energy_only
福永水质净化厂（二期）,,,,,,,,,,,,,,,,energy_only
布吉水质净化厂（三期）,,,,,,,,,,,,,,,,energy_only
埔地吓水质净化厂（三期）,,,,,,,,,,,,,,,,energy_only
沙井水质净化厂（三期）,,,,,,,,,,,,,,,,energy_only
福永水质净化厂（二期）,,,,,,,,,,,,,,,,energy_only
公明水质净化厂（二期）,,,,,,,,,,,,,,,,energy_only
